ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""","skos:definition ""en""",dc:source,SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
CUR_V,V,Componente meridional (dirección norte-sur) de la velocidad de la corriente.,V,,Meridional (north-south) component of current velocity.,"Gabinete de oceanografía fisica, INIDEP.",https://vocab.nerc.ac.uk/collection/P01/current/LCNSZZ01/,,,,PHYSPARAM,,FALSE
CUR_SPD,Velocidad de la corriente,Velocidad de la corriente.,Current speed,,Speed of water current.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01/
 https://vocab.nerc.ac.uk/collection/P02/current/RFVL/
 http://mmisw.org/ont/ioos/parameter/current_velocity",,,,PHYSPARAM,,FALSE
CUR_W,W,Componente vertical de la velocidad de la corriente.,W,,Vertical component of current velocity.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P01/current/LRZAZZZZ/
 http://vocab.nerc.ac.uk/collection/P02/current/LRZA/",,,,PHYSPARAM,,FALSE
PHYSATMPARAM,Parámetros Físicos de la Atmósfera,"Variables que describen las propiedades físicas de la atmósfera en la interfaz aire-mar, como la velocidad del viento, la presión atmosférica y la temperatura del aire.",Physical Atmospheric Parameters,,"Variables that describe the physical properties of the atmosphere at the air-sea interface, such as wind speed, atmospheric pressure, and air temperature.","Gabinete de oceanografía fisica, INIDEP.",,,,,,"SEADIR
WINDIR
SEASTATE
HUMID
ATMPRES
AIRTEMP
WBTEMP
WINSPEED",FALSE
SEADIR,Dirección del mar,Dirección de propagación del oleaje observado.,Sea direction,,Observed direction of wave propagation.,"Gabinete de oceanografía fisica, INIDEP.",,,,,PHYSATMPARAM,,FALSE
WINDIR,Dirección del viento,Dirección desde la cual proviene el viento.,Wind direction,,Direction from which the wind originates.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P01/current/ERWDZZ01
 https://gcmd.earthdata.nasa.gov/kms/concept/e987550e-d443-48eb-93eb-0bc47a62d4b4",,,,PHYSATMPARAM,,FALSE
SEASTATE,Estado del mar,Descripción cualitativa o cuantitativa del oleaje en la superficie del mar.,Sea state,,Qualitative or quantitative description of wave conditions at the sea surface.,"Gabinete de oceanografía fisica, INIDEP.",https://vocab.met.no/GCMDSK/en/page/11aca777-8a01-42ce-b076-b3059c3d8cae,,,,PHYSATMPARAM,,FALSE
HUMID,Humedad,Contenido de vapor de agua en el aire.,Humidity,,Content of water vapor in the air.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P02/current/CHUM/
 https://vocab.met.no/GCMDSK/en/page/427e5121-a142-41cb-a8e9-a70b7f98eb6a
 http://vocab.aodn.org.au/def/parameter_classes/category/8",,,,PHYSATMPARAM,,FALSE
ATMPRES,Presión atmosférica,Presión ejercida por la atmósfera sobre la superficie del océano.,Atmospheric pressure,,Pressure exerted by the atmosphere on the ocean surface.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P01/current/CAPHZZ01/
 https://gcmd.earthdata.nasa.gov/kms/concept/08fd82a1-4370-46a2-82ea-94c0f91498a7",,,,PHYSATMPARAM,,FALSE
AIRTEMP,Temperatura del aire,Temperatura del aire sobre la superficie del océano.,Air temperature,,Temperature of the air above the ocean surface.,"Gabinete de oceanografía fisica, INIDEP.",https://gcmd.earthdata.nasa.gov/kms/concept/f634ab55-de40-4d0b-93bc-691bf5408ccb,,,,PHYSATMPARAM,,FALSE
